"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1021","RT @chadderr: Repubs: Our tax cuts for the rich and corporations will pay for themselves! 

Non-partisan JCT (the CBO for tax): That’s bull…",FALSE,0,NA,2017-11-30 22:47:35,FALSE,NA,"936366122084868096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",143,TRUE,FALSE,NA,NA
"1022","Crane Watch: RiNo's development boom continues with 2 new projects https://t.co/MLbC1zbQrP A host of new developmen… https://t.co/pvTApBnkBY",FALSE,0,NA,2017-11-30 22:47:24,TRUE,NA,"936366076702621696",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LincolnParkLife",0,FALSE,FALSE,NA,NA
"1023","RT @SenWhitehouse: Former Reagan Treasury official describes tax bill process as ""malpractice""; rushed for political reasons. https://t.co/…",FALSE,0,NA,2017-11-30 22:47:21,FALSE,NA,"936366064203571200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",2927,TRUE,FALSE,NA,NA
"1024","RT @BitchestheCat: New study finds CBS Denver should shut their blasphemous mouths. https://t.co/oSdPmid0mv",FALSE,0,NA,2017-11-30 22:47:19,FALSE,NA,"936366058499444736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TexHellCat",194,TRUE,FALSE,NA,NA
"1025","If you don't like John Denver, we aren't friends",FALSE,9,NA,2017-11-30 22:47:13,FALSE,NA,"936366031291015169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrewkswann",1,FALSE,FALSE,NA,NA
"1026","RT @MistyRobotics: Denver #hackers: Do you like robots? We're hosting a #hackathon https://t.co/VBQNr6qHRP",FALSE,0,NA,2017-11-30 22:47:03,FALSE,NA,"936365991214268417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JenniferSAcree",5,TRUE,FALSE,NA,NA
"1027","RT @denverpost: Chronic ingestion of molybdenum can cause diarrhea, stunted growth, infertility, low birth weights and gout. https://t.co/a…",FALSE,0,NA,2017-11-30 22:47:03,FALSE,NA,"936365990094540801",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NewsCPR",8,TRUE,FALSE,NA,NA
"1028","RT @benwikler: PROTESTS NATIONWIDE. Find a protest here, running now through &amp; including the weekend: https://t.co/rTOG7KTnv2",FALSE,0,NA,2017-11-30 22:46:57,FALSE,NA,"936365966232920065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",667,TRUE,FALSE,NA,NA
"1029","@ingridmusic it's an actual thing girl!! Just saw it on tv- people felt it from Denver all the way to NYC <ed><U+00A0><U+00BD><ed><U+00B9><U+008A><ed><U+00A0><U+00BD><ed><U+00B9><U+008A>",FALSE,0,"ingridmusic",2017-11-30 22:46:57,FALSE,"936352249806192640","936365966124044288","16700766","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kenzieroxi",0,FALSE,FALSE,NA,NA
"1030","DENVER IS GETTING AN IN N OUT AND MY 2017 WAS JUST MADE!!",FALSE,0,NA,2017-11-30 22:46:55,FALSE,NA,"936365958108762112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","caseystadel",0,FALSE,FALSE,NA,NA
"1031","#FoundDog reddish/tan, medium to large. Possibly stolen previously. Please see post below. #Denver. https://t.co/Z2yo6Fyjgu",FALSE,1,NA,2017-11-30 22:46:53,FALSE,NA,"936365947614584839",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PoochAndClaws",0,FALSE,FALSE,NA,NA
"1032","Denver Jonez
https://t.co/x1ZXQIRS5I https://t.co/YxqYuP0ZBf",FALSE,0,NA,2017-11-30 22:46:49,FALSE,NA,"936365932070531072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Team_Denver",0,FALSE,FALSE,NA,NA
"1033","RT @BitchestheCat: New study finds CBS Denver should shut their blasphemous mouths. https://t.co/oSdPmid0mv",FALSE,0,NA,2017-11-30 22:46:48,FALSE,NA,"936365926089404416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eardoc100",194,TRUE,FALSE,NA,NA
"1034","RT @AltUSPressSec: For once in your sad little lives, take a goddamn stand.

@SenBobCorker @SenRonJohnson @JeffFlake https://t.co/WrMwpW4vrK",FALSE,0,NA,2017-11-30 22:46:45,FALSE,NA,"936365915532173312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",32,TRUE,FALSE,NA,NA
"1035","Broncos, Dolphins Try To Snap Season-Spoiling Losing Streaks https://t.co/ShL76jwW5j

MIAMI (AP) — With the losses… https://t.co/IrpHgDMwPg",FALSE,0,NA,2017-11-30 22:46:41,TRUE,NA,"936365899661144064",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DenverStadium",0,FALSE,FALSE,NA,NA
"1036","RT @DavidCornDC: Here's another by @nlanard. The GOP disinformation about the tax bill is staggering. 
 https://t.co/yt2kf7YrtY",FALSE,0,NA,2017-11-30 22:46:34,FALSE,NA,"936365866484097025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",306,TRUE,FALSE,NA,NA
"1037","RT @CBSDenver: In-N-Out Burger Coming To Colorado https://t.co/vBqnXVO7XL https://t.co/xuEEMjwKjK",FALSE,0,NA,2017-11-30 22:46:29,FALSE,NA,"936365848104710148",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_tracysmalls_",429,TRUE,FALSE,NA,NA
"1038","Visit with Santa at the Eastbridge Town Center in Stapleton Saturday, December 9th from 2-5pm. #Stapleton #Denver https://t.co/V1a0dPOfU0",FALSE,1,NA,2017-11-30 22:46:21,FALSE,NA,"936365812499103744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GregoryPond",0,FALSE,FALSE,NA,NA
"1039","RT @landpsychology: lemme see if i came out good nah delete it i look dumb https://t.co/zEoMnrmyBM",FALSE,0,NA,2017-11-30 22:46:18,FALSE,NA,"936365802961244160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",37,TRUE,FALSE,NA,NA
"1040","Amazon Marketing Local Artisans’ Products https://t.co/KrilYjj0oR https://t.co/LHD3fydNso",FALSE,2,NA,2017-11-30 22:46:16,FALSE,NA,"936365794031583237",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","CBSDenver",0,FALSE,FALSE,NA,NA
"1041","Broncos, Dolphins Try To Snap Season-Spoiling Losing Streaks https://t.co/rfQxLelvaE https://t.co/iFf6xl7m98",FALSE,5,NA,2017-11-30 22:46:11,FALSE,NA,"936365770799321088",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","CBSDenver",1,FALSE,FALSE,NA,NA
"1042","@daniellez423 surprised you don’t feature in this https://t.co/uEnjgna6Ai",FALSE,1,"daniellez423",2017-11-30 22:46:09,FALSE,NA,"936365761693650945","2305496845","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ned_Donovan",0,FALSE,FALSE,NA,NA
